review,pos,ds_part
"I loved the cinematography and the soundtrack. A must-watch!",1,train
"Terrible pacing and flat characters. I almost fell asleep.",0,train
"Not bad at all—actually pretty good once it gets going.",1,train
"I wanted to like it, but the plot holes were impossible to ignore.",0,train
"Brilliant performances. The ending stayed with me.",1,test
"Overhyped and forgettable. Wouldn’t recommend.",0,test
"It’s not perfect, but it’s heartfelt and beautifully shot.",1,test
"If you enjoy clichés, this is your masterpiece. I don’t.",0,test
"Funny, warm, and surprisingly smart.",1,train
"Confusing editing made the story hard to follow.",0,train
